accounting_id,emissions_category,description,source_id,model_treatment,suitable_phase,approval_status,caveat,notes
S3EA01,direct_process_emissions,Track direct process emissions separately where they are not merely fuel-combustion accounting,WD11;WD15,include,S3,candidate_not_approved,Exact process-level Tata coefficients remain unresolved,Needed for a first site-wide accounting architecture
S3EA02,wag_combustion_emissions,Book WAG carbon when WAG is combusted for useful energy or exported to a combustion interface,WD11;WD12,include,S3,candidate_not_approved,Requires one consistent carbon architecture across process and energy layers,Do not double count with generation-stage emissions
S3EA03,wag_flare_spill_emissions,Book emissions for WAG flaring or other terminal loss paths where relevant,WD11;WD12,include,S3,candidate_not_approved,Flaring logic must align with waste-gas accounting rule,Needed to stop free disposal
S3EA04,natural_gas_combustion_emissions,Track external natural-gas combustion emissions explicitly,WD11;WD15,include,S3,candidate_not_approved,Requires clear energy basis and source convention,Core external fuel emissions term
S3EA05,dri_captured_co2,Track captured CO2 from the DRI route as a separate captured-flow variable rather than netting it silently,WD02;WD15,include,S3,candidate_not_approved,Public planning values remain validation anchors not hourly truth,Keep capture visible in accounting outputs
S3EA06,electricity_indirect_emissions,Optional indirect electricity-emissions module kept separate from direct site accounting,WD05;WD11,reporting_only,S3,validation_only_candidate,Not an ETS-equivalent direct-emissions module,Switchable reporting layer only
S3EA07,ets_gross_cost_placeholder,Allow a simple gross ETS-cost placeholder without full free-allocation optimisation,WD11;WD13,placeholder_only,S3,assumption_support,Not a net ETS position and not a final economic layer,Wave E item after physical layer stabilises
S3EA08,ets_free_allocation_postponed,Detailed free-allocation and benchmark treatment stays postponed,WD13,postpone,S3,later_only,Policy layer is too detailed for Phase S1 or minimal S3,Record as explicit postponement
S3EA09,avoid_double_counting_wag_carbon,Choose one consistent rule so WAG carbon is not counted both at generation and at later combustion,WD12;WD14,include_as_rule,S3,assumption_support,Core accounting architecture must be frozen before economic interpretation,Essential guardrail
S3EA10,vattenfall_boundary_caveat,Vattenfall residual-gas combustion sits at an interface whose reporting boundary must be disclosed explicitly,WD02;WD03;WD05,reporting_rule,S3,assumption_support,Corporate scope framing is not automatically the same as model boundary,Keep interface treatment explicit
S3EA11,waste_gas_accounting_rule,Use EU waste-gas logic for inherent CO2 and source-stream treatment where relevant,WD11;WD12,include_as_rule,S3,assumption_support,Guidance informs architecture but does not replace plant-specific review,Supports no-double-counting design
