legacy_tag,legacy_context,mapped_configuration_id,mapped_configuration_role,allowed_use,forbidden_use,stage_relevance,executable_status,thesis_usability,approval_status,notes
baseline_bf_bof,candidate_review_configuration_label,C0_current_BF_BOF_reference,reference_configuration,historical_source_context_and_structural_mapping_only,do_not_create_new_configuration_branch,S2_to_S9_non_executable_mapping_only,non_executable,false,scope_mapping_only,Legacy baseline configuration label maps to frozen C0.
BASELINE_BF_BOF,legacy_route_identifier,C0_current_BF_BOF_reference,reference_configuration,route_membership_traceability_within_C0,do_not_treat_route_id_as_separate_top_level_case,S2_structural_mapping_only,non_executable,false,scope_mapping_only,Legacy route identifier remains valid only as route context inside C0.
cfg_baseline_bf_bof,legacy_configuration_flag,C0_current_BF_BOF_reference,reference_configuration,flag_traceability_and_historical_context_only,do_not_use_as_executable_configuration_selector,S2_candidate_review_context_only,non_executable,false,scope_mapping_only,Legacy baseline flag maps to C0 and remains non-executable.
BASELINE_DSP_SINK,legacy_downstream_route_suffix,C0_current_BF_BOF_reference,reference_configuration,downstream_route_context_inside_C0,do_not_promote_to_separate_configuration,S2_structural_mapping_only,non_executable,false,scope_mapping_only,Legacy sink suffix remains an internal C0 route fragment only.
BASELINE_SLAB_SINK,legacy_downstream_route_suffix,C0_current_BF_BOF_reference,reference_configuration,downstream_route_context_inside_C0,do_not_promote_to_separate_configuration,S2_structural_mapping_only,non_executable,false,scope_mapping_only,Legacy slab sink suffix remains an internal C0 route fragment only.
phase1_hybrid_bf_bof_plus_dri_eaf,candidate_review_configuration_label,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,main_configuration,historical_source_context_and_structural_mapping_only,do_not_create_multiple_future_case_branches,S2_to_S9_non_executable_mapping_only,non_executable,false,scope_mapping_only,Legacy Phase 1 candidate-review label maps to frozen C1 despite older DRI/EAF wording.
cfg_phase1_hybrid_bf_bof_plus_dri_eaf,legacy_configuration_flag,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,main_configuration,flag_traceability_and_historical_context_only,do_not_use_as_separate_executable_future_case,S2_candidate_review_context_only,non_executable,false,scope_mapping_only,Legacy future-case flag maps to frozen C1.
BF_BOF_plus_DRP_EAF,historical_doc_term,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,main_configuration,historical_document_mapping_only,do_not_spawn_parallel_topology_family,S2_to_S9_structural_mapping_only,non_executable,false,scope_mapping_only,Historical document wording maps to C1 with NG-based DRP as the frozen base interpretation.
Phase 1,historical_doc_shorthand,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,main_configuration,historical_shorthand_only_when_referring_to_frozen_main_case,do_not_use_as_open_transition_pathway_label,S2_to_S9_structural_mapping_only,non_executable,false,scope_mapping_only,Generic Phase 1 wording must resolve to C1 in implementation planning.
future_configuration,ambiguous_historical_shorthand,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,main_configuration,legacy_future_case_reference_only_when_clearly_same_as_C1,do_not_leave_unmapped_or_turn_into_new_main_case,S2_to_S9_structural_mapping_only,non_executable,false,scope_mapping_only,Ambiguous future-case wording must collapse to C1 rather than create another top-level branch.
PHASE1_BF_BOF,legacy_route_identifier,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,main_configuration,route_membership_traceability_within_C1,do_not_treat_route_fragment_as_new_configuration,S2_structural_mapping_only,non_executable,false,scope_mapping_only,Legacy retained BF-BOF route fragment stays inside C1.
PHASE1_DRP_EAF,legacy_route_identifier,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,main_configuration,route_membership_traceability_within_C1,do_not_treat_route_fragment_as_new_configuration,S2_structural_mapping_only,non_executable,false,scope_mapping_only,Legacy DRP-EAF route fragment stays inside C1.
PHASE1_DSP_SINK,legacy_downstream_route_suffix,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,main_configuration,downstream_route_context_inside_C1,do_not_promote_to_separate_configuration,S2_structural_mapping_only,non_executable,false,scope_mapping_only,Legacy DSP sink suffix remains an internal C1 route fragment only.
PHASE1_SLAB_SINK,legacy_downstream_route_suffix,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,main_configuration,downstream_route_context_inside_C1,do_not_promote_to_separate_configuration,S2_structural_mapping_only,non_executable,false,scope_mapping_only,Legacy slab sink suffix remains an internal C1 route fragment only.
DRP_EAF,legacy_route_shorthand,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,main_configuration,route_shorthand_context_inside_C1,do_not_treat_as_separate_future_pathway,S2_structural_mapping_only,non_executable,false,scope_mapping_only,Legacy DRP-EAF shorthand maps to the route fragment inside C1.
DRI_EAF,legacy_route_shorthand,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,main_configuration,route_shorthand_context_inside_C1,do_not_treat_as_separate_future_pathway,S2_structural_mapping_only,non_executable,false,scope_mapping_only,Older DRI-EAF wording remains historical shorthand and does not override the frozen C1 label.
