input_id,process_id,route,capacity_min_tph,capacity_max_tph,operating_cost_per_tonne,throughput_unit,cost_unit,source_status,approval_status,intended_use,scenario_or_config,notes
proc_base_bf,bf,BF_BOF,0.0,2.0,9.0,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_scaffold_smoke,base_s2_toy_smoke,"Toy scaffold process only; not Tata-specific."
proc_base_bof,bof,BF_BOF,0.0,2.0,6.0,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_scaffold_smoke,base_s2_toy_smoke,"Toy scaffold process only; not Tata-specific."
proc_base_drp,drp,DRP_EAF,0.0,3.0,5.0,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_scaffold_smoke,base_s2_toy_smoke,"Toy scaffold process only; not Tata-specific."
proc_base_eaf,eaf,DRP_EAF,0.0,3.0,4.0,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_scaffold_smoke,base_s2_toy_smoke,"Toy scaffold process only; not Tata-specific."
proc_base_caster,caster,DOWNSTREAM,0.0,5.0,2.5,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_scaffold_smoke,base_s2_toy_smoke,"Toy scaffold process only; not Tata-specific."
proc_prod_bf,bf,BF_BOF,0.0,2.0,9.0,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_infeasibility_smoke,impossible_production_target,"Toy scaffold process only; target is deliberately infeasible."
proc_prod_bof,bof,BF_BOF,0.0,2.0,6.0,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_infeasibility_smoke,impossible_production_target,"Toy scaffold process only; target is deliberately infeasible."
proc_prod_drp,drp,DRP_EAF,0.0,3.0,5.0,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_infeasibility_smoke,impossible_production_target,"Toy scaffold process only; target is deliberately infeasible."
proc_prod_eaf,eaf,DRP_EAF,0.0,3.0,4.0,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_infeasibility_smoke,impossible_production_target,"Toy scaffold process only; target is deliberately infeasible."
proc_prod_caster,caster,DOWNSTREAM,0.0,5.0,2.5,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_infeasibility_smoke,impossible_production_target,"Toy scaffold process only; target is deliberately infeasible."
proc_term_bf,bf,BF_BOF,0.0,2.0,9.0,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_infeasibility_smoke,terminal_inventory_infeasible,"Toy scaffold process only; terminal rule is deliberately infeasible."
proc_term_bof,bof,BF_BOF,0.0,2.0,6.0,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_infeasibility_smoke,terminal_inventory_infeasible,"Toy scaffold process only; terminal rule is deliberately infeasible."
proc_term_drp,drp,DRP_EAF,0.0,3.0,5.0,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_infeasibility_smoke,terminal_inventory_infeasible,"Toy scaffold process only; terminal rule is deliberately infeasible."
proc_term_eaf,eaf,DRP_EAF,0.0,3.0,4.0,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_infeasibility_smoke,terminal_inventory_infeasible,"Toy scaffold process only; terminal rule is deliberately infeasible."
proc_term_caster,caster,DOWNSTREAM,0.0,5.0,2.5,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_infeasibility_smoke,terminal_inventory_infeasible,"Toy scaffold process only; terminal rule is deliberately infeasible."
proc_feed_bf,bf,BF_BOF,0.0,2.0,9.0,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_infeasibility_smoke,route_feed_shortage_or_buffer_bottleneck,"Toy scaffold process only; feed limit is deliberately infeasible."
proc_feed_bof,bof,BF_BOF,0.0,2.0,6.0,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_infeasibility_smoke,route_feed_shortage_or_buffer_bottleneck,"Toy scaffold process only; feed limit is deliberately infeasible."
proc_feed_drp,drp,DRP_EAF,0.0,3.0,5.0,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_infeasibility_smoke,route_feed_shortage_or_buffer_bottleneck,"Toy scaffold process only; feed limit is deliberately infeasible."
proc_feed_eaf,eaf,DRP_EAF,0.0,3.0,4.0,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_infeasibility_smoke,route_feed_shortage_or_buffer_bottleneck,"Toy scaffold process only; feed limit is deliberately infeasible."
proc_feed_caster,caster,DOWNSTREAM,0.0,5.0,2.5,tonnes_per_hour,eur_per_tonne,toy_scaffold,not_approved,s2_toy_infeasibility_smoke,route_feed_shortage_or_buffer_bottleneck,"Toy scaffold process only; feed limit is deliberately infeasible."
