process_unit_id,configuration_id,route_id,process_unit_name,process_class,continuity_class,structural_role,included_in_s2,postponed_to_stage,structural_status,numerical_status,executable_status,thesis_usability,approval_status,source_ids,notes
c0_raw_material_supply_boundary,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,C0 raw material supply boundary,supply_boundary,external_boundary,external_raw_material_supply_boundary,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F17,External metallic and burden material boundary for C0.
c0_coke_supply_or_coke_oven_boundary,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,C0 coke supply or coke-oven boundary,coke_supply_boundary,boundary_treatment,coke_supply_treatment,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F16,Boundary treatment for coke availability without approving internal operating detail.
c0_burden_prep_boundary,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,C0 burden preparation boundary,agglomerated_feed_boundary,boundary_treatment,sinter_and_pellet_feed_treatment,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F17,Boundary treatment for sinter and pellet feed into the blast-furnace route.
c0_blast_furnace,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,C0 blast furnace,ironmaking,continuity_driven,primary_ironmaking_unit,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F03;F12,Primary hot-metal production unit in the current route.
c0_bof_converter,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,C0 BOF converter block,steelmaking_converter,batch_equivalent,converter_steelmaking_unit,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F09,Aggregate converter steelmaking unit in the current route.
c0_cast_slab_handling,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,C0 casting and slab handling node,casting_and_slab_handling,transfer_node,metal_to_slab_transfer_node,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F13,Structural casting and slab-transfer node for current-route output.
c0_downstream_metal_sink,C0_current_BF_BOF_reference,C0_ROUTE_BF_BOF,C0 downstream metallic sink,downstream_sink,aggregate_sink,downstream_product_sink,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F14;F15,Aggregate downstream sink for slab or hot-rolled output in C0.
c1_bf_bof_supply_boundary,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF,C1 BF-BOF supply boundary,supply_boundary,external_boundary,external_raw_material_supply_boundary,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F17,External supply boundary for the retained BF-BOF route in C1.
c1_ng_drp_eaf_supply_boundary,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,C1 NG-DRP-EAF supply boundary,supply_boundary,external_boundary,external_raw_material_supply_boundary,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F17,External supply boundary for the NG-DRP-EAF route in C1.
c1_blast_furnace,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF,C1 retained blast furnace,ironmaking,continuity_driven,retained_primary_ironmaking_unit,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F03;F12,Retained hot-metal production unit in the hybrid configuration.
c1_bof_converter,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF,C1 retained BOF converter block,steelmaking_converter,batch_equivalent,retained_converter_steelmaking_unit,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F09,Retained aggregate converter steelmaking unit in the hybrid configuration.
c1_ng_drp,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,C1 NG-DRP unit,direct_reduction,continuity_driven,direct_reduction_unit,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F04;F07,Direct-reduction unit with natural-gas route context only.
c1_dri_hdri_handling,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,C1 DRI or HDRI handling node,dri_handling_interface,transfer_node,dri_or_hdri_transfer_and_buffer_interface,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,F02;F05;F06,Structural interface for DRI or HDRI transfer into the EAF route.
c1_eaf,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,C1 EAF,electric_arc_steelmaking,batch_equivalent,main_flexible_steelmaking_unit,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F08;F10;F11,Main future flexible steelmaking unit in the hybrid topology.
c1_new_secondary_met,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_NG_DRP_EAF,C1 new secondary metallurgy node,secondary_metallurgy,transfer_node,post_eaf_refining_node,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03,Aggregate secondary-metallurgy node for the EAF route.
c1_cast_slab_handling,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF;C1_ROUTE_NG_DRP_EAF,C1 casting and slab handling node,casting_and_slab_handling,shared_transfer_node,shared_metal_to_slab_transfer_node,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F13,Shared casting and slab-transfer node for both C1 routes.
c1_downstream_metal_sink,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,C1_ROUTE_RETAINED_BF_BOF;C1_ROUTE_NG_DRP_EAF,C1 downstream metallic sink,downstream_sink,shared_aggregate_sink,shared_downstream_product_sink,true,none,structural_candidate,no_numerical_value,non_executable,false,structural_candidate,S03;F14;F15,Shared downstream sink for hybrid-route slab or hot-rolled output.
