parameter_id,configuration_scope,applies_to_configuration,plant_id,parameter_name,parameter_role,direction,carrier_or_material,base_value,unit,basis,source_or_assumption_id,input_status,evidence_strength,executable_status,development_executable,thesis_usability,human_review_required,codex_may_decide,applies_to_solver,applies_to_diagnostics,applies_to_anchor_comparison,active_target,constraint_used,caveat
C0_TOTAL_LIQUID_STEEL_TARGET_MT_Y,configuration_specific,C0_current_BF_BOF_reference,SITE_POLICY,c0_total_liquid_steel_target_mt_y,active_total_production_target,policy,liquid_steel,6.75,Mt liquid steel/y,site_annual_liquid_steel,S4.4c5k_active_model_production_policy,development_policy_target,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,active thesis model target; not exact Tata truth; public MER values remain validation/context anchors
C0_BOF_LIQUID_STEEL_TARGET_MT_Y,configuration_specific,C0_current_BF_BOF_reference,SITE_POLICY,c0_bof_liquid_steel_target_mt_y,active_route_split_target,policy,liquid_steel,6.75,Mt liquid steel/y,site_annual_retained_BOF_liquid_steel,S4.4c5k_active_model_production_policy,development_policy_target,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,active thesis model target; not exact Tata truth; public MER values remain validation/context anchors
C0_EAF_LIQUID_STEEL_TARGET_MT_Y,configuration_specific,C0_current_BF_BOF_reference,SITE_POLICY,c0_eaf_liquid_steel_target_mt_y,active_route_split_target,policy,liquid_steel,0.0,Mt liquid steel/y,site_annual_EAF_liquid_steel,S4.4c5k_active_model_production_policy,development_policy_target,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,active thesis model target; not exact Tata truth; public MER values remain validation/context anchors
C1_TOTAL_LIQUID_STEEL_TARGET_MT_Y,configuration_specific,C1_phase1_BF_BOF_plus_DRP_EAF,SITE_POLICY,c1_total_liquid_steel_target_mt_y,active_total_production_target,policy,liquid_steel,6.75,Mt liquid steel/y,site_annual_liquid_steel,S4.4c5k_active_model_production_policy,development_policy_target,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,active thesis model target; not exact Tata truth; public MER values remain validation/context anchors
C1_RETAINED_BOF_LIQUID_STEEL_TARGET_MT_Y,configuration_specific,C1_phase1_BF_BOF_plus_DRP_EAF,SITE_POLICY,c1_retained_bof_liquid_steel_target_mt_y,active_route_split_target,policy,liquid_steel,3.4,Mt liquid steel/y,site_annual_retained_BOF_liquid_steel,S4.4c5k_active_model_production_policy,development_policy_target,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,active thesis model target; not exact Tata truth; public MER values remain validation/context anchors
C1_EAF_LIQUID_STEEL_TARGET_MT_Y,configuration_specific,C1_phase1_BF_BOF_plus_DRP_EAF,SITE_POLICY,c1_eaf_liquid_steel_target_mt_y,active_route_split_target,policy,liquid_steel,3.35,Mt liquid steel/y,site_annual_EAF_liquid_steel,S4.4c5k_active_model_production_policy,development_policy_target,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,active thesis model target; not exact Tata truth; public MER values remain validation/context anchors
BF_TO_BOF_HOT_METAL_BUFFER_ACTIVE,generic_policy,all,BF_BOF_INTERFACE,bf_to_bof_hot_metal_buffer_active,hot_metal_coupling_policy,policy,hot_metal_policy,0.0,boolean,no_explicit_hot_metal_buffer,S4.4c5k_active_model_production_policy,development_policy_target,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,active thesis model target; not exact Tata truth; public MER values remain validation/context anchors
BF_HM_EQUALS_BOF_HM_INPUT_NO_BUFFER,generic_policy,all,BF_BOF_INTERFACE,bf_hm_equals_bof_hm_input_no_buffer,hot_metal_coupling_policy,policy,hot_metal_policy,1.0,boolean,annual_equality_no_buffer,S4.4c5k_active_model_production_policy,development_policy_target,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,active thesis model target; not exact Tata truth; public MER values remain validation/context anchors
MER_reference_liquid_steel_context_t_y,configuration_specific,C0_current_BF_BOF_reference,SITE_POLICY,mer_reference_liquid_steel_context_t_y,validation_context_anchor,policy,liquid_steel_or_hot_metal_context,7200000.0,t/y,public MER current/reference context anchor,public MER current/reference context anchor,validation_context_anchor,modelling_policy_with_public_context,validation_only,false,false,true,false,false,true,true,false,false,validation/context anchor only; not an active target and not a dispatch constraint
MER_heracless_liquid_steel_context_t_y,configuration_specific,C0_current_BF_BOF_reference,SITE_POLICY,mer_heracless_liquid_steel_context_t_y,validation_context_anchor,policy,liquid_steel_or_hot_metal_context,6800000.0,t/y,public Heracless production context anchor,public Heracless production context anchor,validation_context_anchor,modelling_policy_with_public_context,validation_only,false,false,true,false,false,true,true,false,false,validation/context anchor only; not an active target and not a dispatch constraint
MER_reference_liquid_steel_context_t_y,configuration_specific,C1_phase1_BF_BOF_plus_DRP_EAF,SITE_POLICY,mer_reference_liquid_steel_context_t_y,validation_context_anchor,policy,liquid_steel_or_hot_metal_context,7200000.0,t/y,public MER current/reference context anchor,public MER current/reference context anchor,validation_context_anchor,modelling_policy_with_public_context,validation_only,false,false,true,false,false,true,true,false,false,validation/context anchor only; not an active target and not a dispatch constraint
MER_heracless_liquid_steel_context_t_y,configuration_specific,C1_phase1_BF_BOF_plus_DRP_EAF,SITE_POLICY,mer_heracless_liquid_steel_context_t_y,validation_context_anchor,policy,liquid_steel_or_hot_metal_context,6800000.0,t/y,public Heracless production context anchor,public Heracless production context anchor,validation_context_anchor,modelling_policy_with_public_context,validation_only,false,false,true,false,false,true,true,false,false,validation/context anchor only; not an active target and not a dispatch constraint
C1_retained_BOF_OSF_activity_context_t_y,configuration_specific,C1_phase1_BF_BOF_plus_DRP_EAF,SITE_POLICY,c1_retained_bof_osf_activity_context_t_y,validation_context_anchor,policy,liquid_steel_or_hot_metal_context,3400000.0,t/y,public retained BOF/OSF activity context anchor,public retained BOF/OSF activity context anchor,validation_context_anchor,modelling_policy_with_public_context,validation_only,false,false,true,false,false,true,true,false,false,validation/context anchor only; not an active target and not a dispatch constraint
C1_retained_BF_hot_metal_context_t_y,configuration_specific,C1_phase1_BF_BOF_plus_DRP_EAF,SITE_POLICY,c1_retained_bf_hot_metal_context_t_y,validation_context_anchor,policy,liquid_steel_or_hot_metal_context,2800000.0,t/y,public retained BF hot-metal context anchor,public retained BF hot-metal context anchor,validation_context_anchor,modelling_policy_with_public_context,validation_only,false,false,true,false,false,true,true,false,false,validation/context anchor only; not an active target and not a dispatch constraint
