policy_area,policy_id,policy_name,selected_for_base,allowed_as_sensitivity,earliest_stage,description,forbidden_shortcut,notes
production,production_A_fixed_target_cost_min,Fixed production target plus cost minimisation,yes,no,S2,Base production policy for first steel implementation,Do not switch to endogenous revenue-seeking production in the base case,Current base policy
production,production_B_expost_margin_reporting,Ex-post margin reporting only,no,yes,S3,Product margin may be reported after solving without changing the base objective,Do not let reporting margin back-propagate into the base objective,Reporting extension only
production,production_E_order_book_deadline_later,Order-book or deadline production later,no,yes,S6,More advanced production policy reserved for later evidence and model maturity,Do not approximate order-book logic with ad hoc revenue scalars,Later option only
carbon,carbon_2_gross_ets,Gross ETS cost visible,yes,no,S3,Base carbon policy uses explicit gross ETS cost,Do not hide ETS inside net emissions factors,Current base carbon policy
carbon,carbon_free_allocation_separate_later,Separate free-allocation credit later,no,yes,S3,Free allocation stays a separate later credit or sensitivity module,Do not embed free allocation inside emissions factors or gross ETS cost,Later policy module
carbon,carbon_cbam_postponed,CBAM postponed,no,yes,S5,CBAM remains outside the first base objective and belongs to a later trade-facing layer,Do not add CBAM as a simple direct cost on EU output,Current base boundary
network,network_N1_proxy,Generic Dutch tariff proxy N1,yes,yes,S3,Initial network policy uses public Dutch proxy structure labelled clearly as proxy,Do not claim proxy tariff sheets are Tata contract truth,Current base network policy
market,market_DA_only_before_stochastic,Deterministic DA before stochastic,no,no,S4,Market sequence requires deterministic DA before stochastic DA,Do not jump from physical layer directly to stochastic DA,Sequencing rule
market,market_mFRR_S7_later,mFRR at S7 or later,no,yes,S7,mFRR enters only after DA-only stability,Do not add reserve logic before DA-only steel is explainable,Sequencing rule
market,market_15min_Dplus4_S8_later,15-minute and or D_plus_4 at S8 or later,no,yes,S8,Granularity and horizon extensions come after core DA and before risk layer with one dimension changed at a time,Do not mix granularity and horizon changes into earlier physical or reserve stages,Sequencing rule
risk,risk_CVaR_S9_later,CVaR at S9 or later,no,yes,S9,Risk aversion is explicitly postponed behind deterministic, DA, and reserve layers,Do not introduce CVaR into current governance stage,Current priority rule
