parameter_id,base_value,low_value,high_value,unit,parameter_group,source_card,input_status,thesis_usability,human_review_required,codex_may_decide,evidence_strength,caveat
DRP_ROUTE_SCOPE,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,,,-,policy,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,C1 topology context only; EAF physics remains deferred.
DRP_TECHNOLOGY_BASE,HYL_Energiron,,,-,policy,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,"Public MER technology context, not Tata operating truth."
DRP_REDUCTANT_BASE,natural_gas,,,-,policy,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Base case is NG-DRP; hydrogen disabled.
DRP_HYDROGEN_ENABLED_BASE,false,,,boolean,policy,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Hydrogen belongs only to later explicit sensitivity/context.
DRP_H2_INPUT_T_PER_T_DRI_BASE,0.0,,,t H2/t DRI,policy,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,No hydrogen input in base case.
DRP_MFRR_ELIGIBLE_BASE,false,,,boolean,policy,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,DRP is not an mFRR asset in this stage.
DRP_EXPORTABLE_WAG_CARRIER,false,,,boolean,WAG_policy,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,DRP tailgas must not enter BFG/COG/BOFG network.
DRP_TAILGAS_INTERNAL_FUEL_ENABLED,true,,,boolean,WAG_policy,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Tailgas is internal process fuel only in this first layer.
DRP_CO2_ACCOUNTING_MODE,capture_stream_validation,,,-,CO2_policy,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Capture stream validation only; not ETS/full-site emissions.
DRP_OUTPUT_BASIS,t DRI,,,-,activity_basis,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Activity basis is DRI output.
DRP_C1_OUTPUT_ANNUAL_MT_Y,2.8,,,Mt DRI/y,validation_anchor,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Raw MER anchor scaled to active target; not hidden hourly truth.
DRP_PELLET_INPUT_T_PER_T_DRI,1.351,,,t pellets/t DRI,material,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Rounded base candidate; compare with 1/0.74 yield check.
DRP_DRI_YIELD_T_PER_T_PELLETS,0.74,,,t DRI/t pellets,material_check,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,"Yield check, not separately used to override selected pellet input."
DRP_NG_REDUCTION_GJ_PER_T_DRI,8.1,,,GJ_LHV/t DRI,natural_gas,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,MER-derived NG reduction energy candidate.
DRP_NG_PROCESS_FURNACE_GJ_PER_T_DRI,1.8,,,GJ_LHV/t DRI,natural_gas,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,MER-derived process-furnace NG energy candidate.
DRP_NG_TOTAL_GJ_PER_T_DRI,9.9,,,GJ_LHV/t DRI,natural_gas_check,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Derived check equals reduction plus process furnace.
DRP_ELECTRICITY_MWH_PER_T_DRI,0.0833,,,MWh/t DRI,electricity,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,"Continuous auxiliary DRP electricity, not EAF arc power."
DRP_CO2_CAPTURE_T_PER_T_DRI,0.286,,,t CO2/t DRI,CO2_capture_stream,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Validation/capture stream only; do not add as independent direct emissions.
DRP_OXYGEN_INPUT_T_PER_T_DRI_PROJECT,0.135,,,t O2/t DRI,oxygen_diagnostic,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Diagnostic only until Linde/ASU layer exists.
DRP_CDRI_SILO_ENABLED,true,,,boolean,buffer,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,"Public topology confirms CDRI silo existence, not capacity."
DRI_BUFFER_CAPACITY_DAYS_BASE,2.0,1.0,3.0,days of active DRP output,buffer,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,Development candidate from Badarinath/Athanasiadis-style decoupling precedent.
DRI_BUFFER_INITIAL_SHARE,0.5,0.25,0.75,fraction of capacity,buffer,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Mid-level initial inventory avoids free buffer energy.
DRI_BUFFER_TERMINAL_RULE,end_equals_initial,,,-,buffer,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Terminal equality prevents horizon-end inventory mining.
DRI_BUFFER_GAP_TOLERANCE_REL,0.01,,,fraction,buffer_healthcheck,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Relative tolerance for rounded public annual values.
DRI_BUFFER_GAP_TOLERANCE_T,500.0,,,t DRI,buffer_healthcheck,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Absolute terminal/interface tolerance.
DRI_BUFFER_MODE_BASE,aggregated_DRI_store_with_temporary_EAF_interface,,,-,buffer,data/03_Optimisation/inputs/assets/steel/source_cards/DRP_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,First C5o_a uses one aggregated DRI interface until HDRI/CDRI split and EAF are implemented.
