parameter_id,configuration_scope,applies_to_configuration,plant_id,parameter_name,parameter_role,direction,carrier_or_material,base_value,low_value,high_value,unit,basis,conversion_formula,source_or_assumption_id,input_status,source_status,evidence_strength,executable_status,development_executable,thesis_usability,human_review_required,codex_may_decide,applies_to_solver,applies_to_diagnostics,applies_to_anchor_comparison,active_driver,constraint_used,caveat
HSM_OUTPUT_BASIS,generic,all,HSM_WBW,hsm_output_basis,accounting_policy,basis,hot_rolled_coil,t_hot_rolled_coil,,,basis,t_hot_rolled_coil,,HSM_Parameters.md,development_candidate,source_card_candidate,candidate_public_generic,diagnostic_only,false,false,true,false,false,true,false,false,false,candidate only; not Tata-validated; not thesis-approved
HSM_OUTPUT_DRIVER_MODE,generic,all,HSM_WBW,hsm_output_driver_mode,accounting_policy,policy,downstream_output_driver,scale_public_downstream_anchors_to_active_liquid_steel_target,,,mode,t_hot_rolled_coil,,HSM_Parameters.md,development_output_driver,source_card_candidate,modelling_policy_with_public_context,development_executable,true,false,true,false,false,true,false,true,false,candidate only; not Tata-validated; not thesis-approved
HSM_SLAB_INPUT_T_PER_T_HRC,generic,all,HSM_WBW,hsm_slab_input_t_per_t_hrc,material_conversion,input,slab,1.1,1.07,1.15,t slab/t HRC,t_hot_rolled_coil,,HSM_Parameters.md,development_candidate,source_card_candidate,candidate_public_generic,development_executable,true,false,true,false,false,true,false,false,false,candidate only; not Tata-validated; not thesis-approved
HSM_REHEAT_ENERGY_GJ_PER_T_HRC,generic,all,HSM_WBW,hsm_reheat_energy_gj_per_t_hrc,energy_input,input,reheat_heat,1.35,1.2,1.5,GJ/t HRC,t_hot_rolled_coil,,HSM_Parameters.md,development_candidate,source_card_candidate,candidate_public_generic,development_executable,true,false,true,false,false,true,false,false,false,candidate only; not Tata-validated; not thesis-approved
HSM_ROLLING_ELECTRICITY_MWH_PER_T_HRC,generic,all,HSM_WBW,hsm_rolling_electricity_mwh_per_t_hrc,energy_input,input,electricity,0.07,0.028,0.111,MWh/t HRC,t_hot_rolled_coil,,HSM_Parameters.md,development_candidate,source_card_candidate,candidate_public_generic,development_executable,true,false,true,false,false,true,false,false,false,candidate only; not Tata-validated; not thesis-approved
HSM_DIRECT_CO2_MODE,generic,all,HSM_WBW,hsm_direct_co2_mode,emissions_policy,policy,CO2,derived_from_reheat_fuel_mix,,,mode,t_hot_rolled_coil,,HSM_Parameters.md,development_candidate,source_card_candidate,candidate_public_generic,diagnostic_only,false,false,true,false,false,true,false,false,false,candidate only; not Tata-validated; not thesis-approved
HSM_FLEXIBILITY_CLASS,generic,all,HSM_WBW,hsm_flexibility_class,diagnostic_only,policy,flexibility_class,bounded_downstream_scheduling_asset,,,class,t_hot_rolled_coil,,HSM_Parameters.md,development_candidate,source_card_candidate,candidate_public_generic,diagnostic_only,false,false,true,false,false,true,false,false,false,candidate only; not Tata-validated; not thesis-approved
HSM_REHEAT_FUEL_CARRIER_BFG,generic,all,HSM_WBW,hsm_reheat_fuel_carrier_bfg,fuel_eligibility,input,BFG,allowed,,,eligibility,t_hot_rolled_coil,,HSM_Parameters.md,development_candidate,source_card_candidate,candidate_public_generic,development_executable,true,false,true,false,false,true,false,false,false,candidate only; not Tata-validated; not thesis-approved
HSM_REHEAT_FUEL_CARRIER_COG,generic,all,HSM_WBW,hsm_reheat_fuel_carrier_cog,fuel_eligibility,input,COG,allowed,,,eligibility,t_hot_rolled_coil,,HSM_Parameters.md,development_candidate,source_card_candidate,candidate_public_generic,development_executable,true,false,true,false,false,true,false,false,false,candidate only; not Tata-validated; not thesis-approved
HSM_REHEAT_FUEL_CARRIER_BOFG,generic,all,HSM_WBW,hsm_reheat_fuel_carrier_bofg,fuel_eligibility,input,BOFG,allowed,,,eligibility,t_hot_rolled_coil,,HSM_Parameters.md,development_candidate,source_card_candidate,candidate_public_generic,development_executable,true,false,true,false,false,true,false,false,false,candidate only; not Tata-validated; not thesis-approved
HSM_REHEAT_FUEL_CARRIER_NG,generic,all,HSM_WBW,hsm_reheat_fuel_carrier_ng,fuel_eligibility,input,NG,allowed,,,eligibility,t_hot_rolled_coil,,HSM_Parameters.md,development_candidate,source_card_candidate,candidate_public_generic,development_executable,true,false,true,false,false,true,false,false,false,candidate only; not Tata-validated; not thesis-approved
