protocol_rule_id,category,target_approved_table,required_evidence,required_metadata,required_review_decision,allowed_status_before_review,allowed_status_after_review,forbidden_action,codex_allowed_role,codex_forbidden_role,user_review_required,executable_gate_required,sensitivity_required_rule,approval_blocker,applies_to_configuration,stage_relevance,executable_status,thesis_usability,approval_status,notes
PPR001,process_bounds,process_bounds.csv,source_card;review_packet;operating_envelope_rationale;annual_translation_method_if_used,parameter_id;configuration_applicability;unit_basis;sign_basis;source_ids;evidence_strength;sensitivity_classification,explicit_user_or_thesis_reviewer_promotion_decision,candidate_review;candidate_not_approved,approved_non_executable_only,approve_numerical_value_now;make_executable_now;use_annual_anchor_as_hourly_cap,prepare_review_packet;check_completeness;flag_blockers,approve_row;select_base_case_value;promote_without_decision;populate_approved_table,true,true,require_sensitivity_if_translation_or_turndown_is_uncertain,annual_to_hourly_translation_not_approved_or_operating_envelope_not_reviewed,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,S2,non_executable,false,protocol_only,Process bounds require explicit annual-to-hourly approval before any hourly use.
PPR002,conversion_coefficients,conversion_coefficients.csv,source_card;review_packet;coefficient_direction_review;strong_category_evidence,parameter_id;configuration_applicability;unit_basis;direction_convention;source_ids;evidence_strength;sensitivity_classification,explicit_user_or_thesis_reviewer_promotion_decision,candidate_review;candidate_not_approved,approved_non_executable_only,approve_numerical_value_now;make_executable_now;mix_sign_conventions,prepare_review_packet;check_completeness;flag_blockers,approve_row;select_base_case_value;promote_without_decision;populate_approved_table,true,true,require_sensitivity_if_site_transferability_or_unit_basis_is_uncertain,coefficient_direction_or_unit_basis_not_frozen,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,S2,non_executable,false,protocol_only,Strong conversion coefficients are reviewable earlier than high-risk capacities but still need reviewer approval.
PPR003,store_capacities,store_capacities.csv,source_card;review_packet;buffer_role_review;capacity_basis_review,parameter_id;configuration_applicability;unit_basis;store_class;source_ids;evidence_strength;sensitivity_classification,explicit_user_or_thesis_reviewer_promotion_decision,candidate_review;candidate_not_approved,approved_non_executable_only,approve_numerical_value_now;make_executable_now;infer_capacity_from_endpoint_policy,prepare_review_packet;check_completeness;flag_blockers,approve_row;select_base_case_value;promote_without_decision;populate_approved_table,true,true,require_sensitivity_if_capacity_materially_changes_flexibility_value,high_flexibility_value_risk_and_weak_public_transferability,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF;C1S_phase1_sensitivity_variants,S2,non_executable,false,blocked,Store capacities are high-risk and should not be promoted early.
PPR004,initial_inventories,initial_inventories.csv,source_card;review_packet;opening_state_policy_review,parameter_id;configuration_applicability;unit_basis;inventory_basis;source_ids;evidence_strength;sensitivity_classification,explicit_user_or_thesis_reviewer_promotion_decision,candidate_review;candidate_not_approved;assumption_only,approved_non_executable_only,approve_numerical_value_now;make_executable_now;infer_opening_state_without_policy,prepare_review_packet;check_completeness;flag_blockers,approve_row;select_base_case_value;promote_without_decision;populate_approved_table,true,true,require_sensitivity_if_opening_state_basis_is_uncertain,opening_state_semantics_not_reviewed,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,S2,non_executable,false,protocol_only,Initial inventories should follow reviewed policy logic rather than silent quantity assumptions.
PPR005,terminal_inventory_rules,terminal_inventory_rules.csv,source_card;review_packet;endpoint_rule_review,parameter_id;configuration_applicability;unit_basis;rule_type;source_ids;evidence_strength;sensitivity_classification,explicit_user_or_thesis_reviewer_promotion_decision,candidate_review;candidate_not_approved;assumption_only,approved_non_executable_only,approve_numerical_value_now;make_executable_now;conflate_rule_type_with_exact_quantity,prepare_review_packet;check_completeness;flag_blockers,approve_row;select_base_case_value;promote_without_decision;populate_approved_table,true,true,require_sensitivity_if_endpoint_band_or_floor_is_uncertain,endpoint_rule_type_not_reviewed_or_inconsistent_with_opening_state,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,S2,non_executable,false,protocol_only,Terminal inventory rules must stay separate from exact terminal quantities.
PPR006,production_targets,production_targets.csv,source_card;review_packet;target_basis_review;annual_translation_method_if_used,parameter_id;configuration_applicability;unit_basis;target_basis;source_ids;evidence_strength;sensitivity_classification,explicit_user_or_thesis_reviewer_promotion_decision,candidate_review;validation_only;candidate_not_approved,approved_non_executable_only,approve_numerical_value_now;make_executable_now;reuse_validation_anchor_as_live_target,prepare_review_packet;check_completeness;flag_blockers,approve_row;select_base_case_value;promote_without_decision;populate_approved_table,true,true,require_sensitivity_if_target_basis_or translation_is_uncertain,target_basis_unclear_or_annual_anchor_translation_not_approved,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,S2,non_executable,false,blocked,Production targets should be reviewed late because basis choice changes feasibility and economics.
PPR007,validation_targets,validation_targets.csv,source_card;review_packet;validation_anchor_review,parameter_id;configuration_applicability;unit_basis;validation_role;source_ids;evidence_strength;sensitivity_classification,explicit_user_or_thesis_reviewer_promotion_decision,validation_only;candidate_review,approved_non_executable_reporting_anchor_only,approve_numerical_value_now;make_executable_now;validation_target_as_constraint,prepare_review_packet;check_completeness;flag_blockers,approve_row;select_base_case_value;promote_without_decision;populate_approved_table,true,true,require_sensitivity_if_anchor_range_is_materially_uncertain,validation_target_as_constraint_is_forbidden,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,S2,non_executable,false,blocked,Validation targets may be reviewed as anchors but may not become constraints without reclassification.
PPR008,inventory_endpoint_policies,inventory_endpoint_policies.csv,source_card;review_packet;endpoint_policy_logic_review,parameter_id;configuration_applicability;endpoint_policy_id;policy_basis;source_ids;evidence_strength;sensitivity_classification,explicit_user_or_thesis_reviewer_promotion_decision,candidate_review;assumption_only,approved_non_executable_only,approve_numerical_value_now;make_executable_now;infer_buffer_capacity_from_policy,prepare_review_packet;check_completeness;flag_blockers,approve_row;select_base_case_value;promote_without_decision;populate_approved_table,true,true,require_sensitivity_if_policy_basis_or applicability_is_uncertain,endpoint_policy_not_reviewed_or_store_class_applicability_unclear,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,S2,non_executable,false,protocol_only,CYC50 may be reviewed as endpoint-policy logic without approving capacities.
PPR009,run_reporting_requirements,run_reporting_requirements.csv,run_contract_doc;review_packet;metric_definition_review,report_field_id;stage_applicability;source_ids;definition_basis,explicit_user_or_thesis_reviewer_promotion_decision,candidate_review;candidate_not_approved,approved_non_executable_only,make_executable_now;use_reporting_row_as_model_parameter,prepare_review_packet;check_completeness;flag_blockers,approve_row_as_numerical_input;promote_without_decision;populate_approved_table,true,true,require_sensitivity_if_reporting_definition_depends_on_unreviewed_assumption,run_metric_definition_not_reviewed,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,S2,non_executable,false,protocol_only,Reporting rows are governance rows and do not create executable model behaviour.
PPR010,annual_to_hourly_translation,all_applicable_tables,source_card;translation_note;review_packet;explicit_translation_method,source_ids;annual_basis;hourly_basis;configuration_applicability;translation_limitations,explicit_user_or_thesis_reviewer_translation_approval,validation_only;candidate_review,approved_non_executable_only,use_annual_anchor_as_hourly_cap;approve_numerical_value_now;make_executable_now,prepare_review_packet;check_completeness;flag_blockers,approve_row;select_translation_without_decision;populate_approved_table,true,true,require_sensitivity_if_translation_method_is_materially_uncertain,explicit_annual_to_hourly_approval_missing,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,S2,non_executable,false,blocked,Annual public anchors remain non-hourly until explicit translation approval is recorded.
