parameter_id,parameter_group,unit,activity_basis,lower,central,upper,evidence_tier,model_use_status,source_or_policy_basis,eligible_for_s3_3f,varied_in_search,exclusion_reason,approved_input_status,notes
residual_auxiliary_electricity_scale,residual auxiliary electricity,multiplier,residual MWh/t final product,1.0,1.0,5.0,D,calibration_parameter,S3.1 residual auxiliary electricity selected row with S3.3 calibration range,true,true,,not_approved_input,Existing governed/source-carded range reused for bounded C1 diagnostic only.
downstream_electricity_scale,caster/DSP/HSM/ASU electricity intensity scales,multiplier,selected downstream and ASU MWh/t coefficients,0.75,1.0,1.5,D,calibration_parameter,S3.1 selected coefficient ranges,true,true,,not_approved_input,Existing governed/source-carded range reused for bounded C1 diagnostic only.
residual_c0_ng_m3_per_t_final,residual C0 natural-gas demand,m3/t_final_product,per tonne final product,0.0,0.0,70.0,D,calibration_parameter,Explicit S3.3 residual site NG closure parameter,false,false,blocked_for_c1_bounded_alignment_inherited_c0_residual_or_gap_closure,not_approved_input,Existing governed/source-carded range reused for bounded C1 diagnostic only.
steam_process_heat_scale,steam/boiler/process-heat demand scale,multiplier,WAG process and steam useful demand,0.8,1.0,1.5,D,calibration_parameter,S3.1 WAG heat-use assumptions,true,true,,not_approved_input,Existing governed/source-carded range reused for bounded C1 diagnostic only.
bfg_generation_nm3_per_t_hot_metal,BFG generation yield,Nm3/t_hot_metal,per tonne BF hot metal,1200.0,1600.0,2000.0,B/C,calibration_parameter,STEEL-SC-0001 JRC/BREF range,true,true,,not_approved_input,Existing governed/source-carded range reused for bounded C1 diagnostic only.
cog_generation_m3_per_t_dry_coal,COG generation yield,m3/t_dry_coal,per tonne dry coal,280.0,365.0,450.0,B/C,calibration_parameter,STEEL-SC-0001 JRC/BREF range,true,true,,not_approved_input,Existing governed/source-carded range reused for bounded C1 diagnostic only.
bofg_generation_nm3_per_t_liquid_steel,BOFG generation yield,Nm3/t_liquid_steel,per tonne BOF liquid steel,50.0,75.0,100.0,B/C,calibration_parameter,STEEL-SC-0001 JRC/BREF range,true,true,,not_approved_input,Existing governed/source-carded range reused for bounded C1 diagnostic only.
wag_lhv_scale,carrier LHV scale,multiplier,BFG COG BOFG LHV values,0.9,1.0,1.1,B/C,calibration_parameter,S3.0b selected WAG LHV ranges collapsed to compact group,true,true,,not_approved_input,Existing governed/source-carded range reused for bounded C1 diagnostic only.
wag_to_power_efficiency_fraction,WAG-to-power efficiency,fraction,per GJ WAG fuel input,0.321,0.3715,0.422,B/C,calibration_parameter,S3.0b selected WAG-to-power efficiency range,true,true,,not_approved_input,Existing governed/source-carded range reused for bounded C1 diagnostic only.
wag_residual_utilisation_fraction,WAG residual utilisation/interface limit,fraction,residual WAG after mandatory heat uses,0.5,0.5,1.0,D,calibration_parameter,S3.3 policy range extends S3.2 no-export interface to test near-zero normal flare,true,true,,not_approved_input,Existing governed/source-carded range reused for bounded C1 diagnostic only.
coal_primary_energy_factor_gj_per_t_dry_coal,coal/coke primary-energy factor,GJ/t_dry_coal,per tonne coking dry coal proxy,25.0,29.3,52.0,D,calibration_parameter,S3.3 Athanasiadis-compatible carrier proxy factor,true,true,,not_approved_input,Existing governed/source-carded range reused for bounded C1 diagnostic only.
bf_bof_aggregate_direct_co2_t_per_t_bof,BF-BOF/coking residual direct-emissions factor,tCO2/t_BOF_liquid_steel,per tonne BOF liquid steel,1.6,1.8,2.5,D,calibration_parameter,S3.2 BF-BOF aggregate direct CO2 proxy range extended for C0 target fitting,true,true,,not_approved_input,Existing governed/source-carded range reused for bounded C1 diagnostic only.
c1_route_share,C1 route share,fraction,BF-BOF share,0.5033645161290323,0.61,0.68,D,holdout_scenario,User-confirmed C1 holdout route-share scenarios,true,true,,not_approved_input,Existing governed/source-carded range reused for bounded C1 diagnostic only.
drp_natural_gas_intensity,DRP NG intensity,multiplier,C1 DRP m3/t steel,0.8,1.0,1.3,B,holdout_sensitivity_only,Athanasiadis C1 component source,true,true,,not_approved_input,Existing governed/source-carded range reused for bounded C1 diagnostic only.
da_prices,price parameters,not_applicable,market prices,0.0,0.0,0.0,not_applicable,excluded,S3.3 physical calibration policy,false,false,fixed_excluded_or_not_a_c1_bounded_alignment_parameter,not_approved_input,Existing governed/source-carded range reused for bounded C1 diagnostic only.
