policy_id,policy_area,rule,required,validation_check,blocked_if_violated,notes
STEEL-EVID-POL-001,source_reference_integrity,Every parameter-evidence row must reference existing canonical source_card_id values,true,no_orphan_source_card_ids,true,Multi-source fields may use semicolon-separated canonical IDs only after those IDs exist in the source-card register.
STEEL-EVID-POL-002,research_memo_boundary,Research memos are discovery aids and cannot be primary sources,true,research_memo_not_primary_source,true,Discovery provenance may mention memo paths but primary evidence must be the underlying public source.
STEEL-EVID-POL-003,stable_locator_policy,Conversation-local turn references cannot be the sole stable source locator,true,no_turn_reference_as_sole_locator,true,A turn reference may remain in discovery notes only when a stable URL DOI identifier or page locator is also present.
STEEL-EVID-POL-004,locator_completeness,Incomplete source locators block development-input review,true,incomplete_locator_blocks_dev_review,true,Rows with locator_complete=false may remain discovery-only or pending review.
STEEL-EVID-POL-005,metadata_value_separation,Source metadata and parameter values must remain separate,true,source_cards_do_not_carry_parameter_values,true,Source cards may list relevance and locators but candidate values belong in the parameter-evidence register.
STEEL-EVID-POL-006,candidate_non_executable,Candidate parameter-evidence rows cannot be executable,true,candidate_rows_non_executable,true,Executable values require later governed approved-input promotion.
STEEL-EVID-POL-007,approved_input_separation,Approved-input tables are separate from candidate-evidence registers,true,approved_values_not_stored_as_candidate_rows,true,The status vocabulary may mention approved_model_input but candidate rows must not use it as an active status.
STEEL-EVID-POL-008,validation_target_boundary,Validation targets cannot become operating inputs,true,validation_targets_not_operating_inputs,true,Validation evidence may guide plausibility checks but cannot silently drive constraints or objectives.
STEEL-EVID-POL-009,confidential_redacted_boundary,Confidential or redacted values cannot become exact public model truth,true,blocked_confidential_not_promoted,true,Such evidence may support category awareness or blocked status only.
STEEL-EVID-POL-010,source_duplicate_control,Duplicate DOI or formal document identifiers are blocked,true,no_duplicate_source_document_key,true,Alternative download URLs are not separate sources when the underlying document is the same edition.
STEEL-EVID-POL-011,parameter_duplicate_control,Exact duplicate parameter-evidence keys are blocked,true,no_duplicate_parameter_evidence_key,true,Corroborating evidence from different sources must follow the duplicate-key policy rather than duplicate the same row.
