flow_id,configuration,component,carrier,flow_direction,physical_unit,parameter_value,parameter_basis,activity_driver,physical_constraint,future_price_unit,future_cost_treatment,internal_external,source_status,source_locator,residual_status,included_in_first_deterministic_cost_layer,explicitly_deferred,caveat,price_id,price_scenario_id,objective_enabled,accounting_enabled,objective_mode,external_purchase_status,origin_status,physical_quantity_attribute,price_unit,unit_compatibility_status,double_count_group,cost_readiness_status,deferred_reason,cost_route,model_component_attribute
C0_EL_GRID,C0,represented_site_boundary,electricity,external_supply,MWh_e,,net represented demand,represented_net_grid_import_mwh,gross equals internal generation plus grid import,EUR_per_MWh_e,price net represented purchase only,external,boundary_reconciled_development,p_af annual physical boundary ledger,not_residual,yes,no,No export revenue and no exact site-total load proxy.,grid_electricity_flat_nl,development_central,true,true,fixed_reference_procurement_cost,external_purchase,external_grid,net_grid_import_mwh,EUR_per_MWh_e,compatible,C0_net_grid_purchase_once,ex_post_ready,not_deferred,C0_BF_BOF,net_grid_import_mwh
C0_EL_INTERNAL,C0,current_generator_interface,electricity,internal_supply,MWh_e,0.3715,MWh_e per MWh_LHV WAG,generator_WAG_fuel_mwh,internal generation cannot exceed represented gross demand,not_applicable,offset grid import only,internal,accepted_development,S3 governed utility interface and unified builder,not_residual,no,no,C0 unit split is unavailable; aggregate identity is explicit and sensitivity-requiring.,,,false,false,prepared_not_active,internal_not_purchased,internal,generator_electricity_mwh,,not_applicable,C0_EL_INTERNAL_included_in_net_grid_not_separate,included_via_net_grid_not_separately_priced,gross_or_component_electricity_already_captured_by_net_grid,C0_BF_BOF,
C0_EL_HSM,C0,HSM,electricity,demand,MWh_e,0.070,MWh_e per t HRC,HSM_HRC_output_t,named non-overlapping bucket,EUR_per_MWh_e,included through net grid balance,internal_demand,accepted_development,HSM_Parameters.md lines 38-39 and controller_contract_inputs.csv,not_residual,yes,no,0.104 remains sensitivity only.,,,false,false,prepared_not_active,not_resolved,not_resolved,HSM_rolling_electricity_mwh,,not_applicable,C0_EL_HSM_included_in_net_grid_not_separate,included_via_net_grid_not_separately_priced,gross_or_component_electricity_already_captured_by_net_grid,C0_downstream_and_common,
C0_EL_DSP,C0,DSP,electricity,demand,MWh_e,0.056,MWh_e per t DSP coil,DSP_output_t,named non-overlapping bucket,EUR_per_MWh_e,included through net grid balance,internal_demand,accepted_development,DSP_Parameters.md line 95,not_residual,yes,no,Compact generic development value; no HSM overlap.,,,false,false,prepared_not_active,not_resolved,not_resolved,DSP_electricity_mwh,,not_applicable,C0_EL_DSP_included_in_net_grid_not_separate,included_via_net_grid_not_separately_priced,gross_or_component_electricity_already_captured_by_net_grid,C0_BF_BOF,
C0_EL_ASU,C0,Linde_ASU_O2,electricity,demand,MWh_e,0.4,MWh_e per t O2,represented_oxygen_t,named oxygen-specific bucket,EUR_per_MWh_e,included through net grid balance,internal_demand,source_backed_central,LINDE_OXYGEN_Parameters.md line 72 EIGA PP033,not_residual,yes,no,Gaseous oxygen basis only.,,,false,false,prepared_not_active,not_resolved,not_resolved,ASU_oxygen_electricity_mwh,,not_applicable,C0_EL_ASU_included_in_net_grid_not_separate,included_via_net_grid_not_separately_priced,gross_or_component_electricity_already_captured_by_net_grid,C0_BF_BOF,
C0_EL_LINDE_N2,C0,Linde_N2_auxiliary,electricity,demand,MWh_e,45,MW continuous context,Linde_N2_auxiliary_hour,named nonoxygen bucket separate from ASU,EUR_per_MWh_e,included through net grid balance,internal_demand,accepted_development,LINDE_OXYGEN_Parameters.md line 81 Athanasiadis p36 and p42,not_residual,yes,no,Nonflexible context load and not a Tata meter trace.,,,false,false,prepared_not_active,not_resolved,not_resolved,Linde_N2_auxiliary_electricity_mwh,,not_applicable,C0_EL_LINDE_N2_included_in_net_grid_not_separate,included_via_net_grid_not_separately_priced,gross_or_component_electricity_already_captured_by_net_grid,C0_BF_BOF,
C0_EL_KGF,C0,KGF1_KGF2,electricity,demand,MWh_e,0.0667,MWh per t coke,coke_output_t,named purchased-service bucket,EUR_per_MWh_e,included through net grid balance,internal_demand,accepted_development,Coking_Plants_Parameters.md and C5p_i candidate overlay,not_residual,yes,no,Converted from 0.24 GJ per t; not netted with recovery.,,,false,false,prepared_not_active,not_resolved,not_resolved,KGF_electricity_mwh,,not_applicable,C0_EL_KGF_included_in_net_grid_not_separate,included_via_net_grid_not_separately_priced,gross_or_component_electricity_already_captured_by_net_grid,C0_BF_BOF,
C0_EL_BOF,C0,BOF_OSF,electricity,demand,MWh_e,0.0268,MWh per t liquid steel,BOF_liquid_steel_output_t,named non-overlapping bucket,EUR_per_MWh_e,included through net grid balance,internal_demand,accepted_development,BOF_OSF_Parameters.md and C5j parameter register,not_residual,yes,no,Generic public candidate.,,,false,false,prepared_not_active,not_resolved,not_resolved,BOF_electricity_mwh,,not_applicable,C0_EL_BOF_included_in_net_grid_not_separate,included_via_net_grid_not_separately_priced,gross_or_component_electricity_already_captured_by_net_grid,C0_BF_BOF,
C0_EL_BF,C0,BF6_BF7,electricity,demand,MWh_e,0.0744,MWh per t hot metal,BF_hot_metal_output_t,named non-overlapping bucket,EUR_per_MWh_e,included through net grid balance,internal_demand,accepted_development,Blast_Furnace_Parameters.md and C5h parameter register,not_residual,yes,no,Development executable and sensitivity-requiring.,,,false,false,prepared_not_active,not_resolved,not_resolved,BF_electricity_mwh,,not_applicable,C0_EL_BF_included_in_net_grid_not_separate,included_via_net_grid_not_separately_priced,gross_or_component_electricity_already_captured_by_net_grid,C0_BF_BOF,
C0_EL_PEFA,C0,PEFA,electricity,demand,MWh_e,0.0213,MWh per t pellets,PEFA_pellet_output_t,named controller bucket,EUR_per_MWh_e,included through net grid balance,internal_demand,accepted_development,PELLETIZING_Parameters.md and controller_contract_inputs.csv,not_residual,yes,no,Throughput-linked and separate from gas heat.,,,false,false,prepared_not_active,not_resolved,not_resolved,PEFA_electricity_mwh,,not_applicable,C0_EL_PEFA_included_in_net_grid_not_separate,included_via_net_grid_not_separately_priced,gross_or_component_electricity_already_captured_by_net_grid,C0_downstream_and_common,
