numerical_policy_decision_id,decision_cluster,decision_item,human_decision,provisional_base_structure,provisional_sensitivity_structure,modelling_interpretation,applies_to_configuration,applies_to_stage,affected_future_approved_table,evidence_basis,sensitivity_implication,unresolved_blocker,codex_allowed_role,codex_forbidden_role,approval_status,executable_status,thesis_usability,notes
NPD001,process_bounds_translation_policy,annual_public_anchors_not_direct_hourly_caps,Annual_public_anchors_are_validation_or_scaling_evidence_not_direct_hourly_caps,no_direct_hourly_cap_reuse,translation_review_required_before_any_hourly_bound,Annual_anchor_use_must_remain_separate_from_future_hourly_bound_selection,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,process_bounds.csv;production_targets.csv;validation_targets.csv,process_bounds_candidate_review_plus_review_packets,Any_future_translation_choice_should_be_sensitivity_aware,No_reviewed_translation_method_exists,record_human_numerical_policy_and_keep_it_non_executable,approve_or_promote_annual_anchors_as_hourly_caps,blocked_until_later_review,non_executable,false,Annual_public_anchor_as_hourly_cap_remains_forbidden
NPD002,process_bounds_translation_policy,positive_t_per_hour_future_process_bound_unit,Future_process_bounds_must_use_positive_t_per_hour_values,positive_t_per_hour_unit_convention_only,unit_convention_is_not_a_numeric_bound,Future_bound_rows_should_keep_direction_in_metadata_not_sign,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,process_bounds.csv,STEEL_S2_UNIT_SIGN_AND_ENDPOINT_CONVENTIONS_plus_human_decision,Low_sensitivity_high_governance_importance,Exact_bound_values_are_still_unreviewed,record_unit_convention_only,approve_numeric_bounds_or_signed_throughput_rows,numerical_policy_recorded,non_executable,false,Unit_convention_recorded_without_numeric_bound_approval
NPD003,process_bounds_translation_policy,effective_hours_availability_utilisation_translation_requirement,Hourly_process_bounds_require_explicit_effective_hours_availability_utilisation_or_batch_equivalent_translation,translation_method_must_be_recorded_per_asset_class,conservative_central_and_flexible_translation_scenarios_may_later_be_reviewed,Translation_is_a_required_gate_before_future_dev_or_thesis_bound_use,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,process_bounds.csv,process_bounds_candidate_review_plus_S2_7F_process_packet,High_impact_screening_dimension_for_feasibility_and_validation,No_reviewed_translation_parameters_exist,record_gate_requirement_and_translation_policy,approve_or_promote_unreviewed_translation_inputs,blocked_until_later_review,non_executable,false,Translation_requirement_recorded_without_tonnes_per_hour_values
NPD004,process_bounds_translation_policy,BF_continuous_near_must_run_envelope,BF_is_a_continuous_near_must_run_asset_with_no_free_hourly_start_stop_flexibility,central_continuous_envelope_for_dev_only,conservative_and_flexible_near_must_run_bands_may_later_be_screened,Future_BF_bounds_must_be_continuous_envelope_style_not_toggle_style,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,process_bounds.csv,S2_7E_policy_bundle_plus_S2_7F_process_packet,Near_must_run_band_is_an_early_sensitivity_item,Exact_band_values_and_translation_to_hourly_bounds_are_still_unreviewed,record_policy_and_dev_structure_only,approve_numeric_BF_bounds_or_binary_start_stop_logic,numerical_policy_recorded,non_executable,false,BF_policy_recorded_without_numeric_bound_values
NPD005,process_bounds_translation_policy,DRP_continuous_turndown_envelope,DRP_is_continuous_with_possible_turndown_and_no_free_on_off_cycling,central_continuous_turndown_envelope_for_dev_only,more_restrictive_and_more_flexible_turndown_bands_may_later_be_screened,Future_DRP_bounds_must_be_continuous_envelope_style,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,process_bounds.csv,S2_7E_policy_bundle_plus_S2_7F_process_packet,DRP_turndown_is_an_early_sensitivity_item,Exact_turndown_band_and_translation_basis_are_unreviewed,record_policy_and_dev_structure_only,approve_numeric_DRP_bounds_or_free_on_off_logic,numerical_policy_recorded,non_executable,false,DRP_policy_recorded_without_numeric_bound_values
NPD006,process_bounds_translation_policy,BOF_batch_equivalent_hourly_treatment,BOF_is_a_batch_equivalent_hourly_asset_not_a_perfect_dimmer,batch_equivalent_hourly_interpretation_for_dev_only,alternative_hourly_equivalent_interpretations_may_later_be_screened,Future_BOF_bounds_must_respect_batch_equivalent_logic,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,process_bounds.csv,S2_7F_process_packet_plus_ATH09_method_row,Structural_sensitivity_remains_before_numeric_bound_review,No_reviewed_hourly_equivalent_capacity_exists,record_policy_and_translation_requirement_only,approve_numeric_BOF_hourly_caps_or_perfect_dimmer_logic,numerical_policy_recorded,non_executable,false,BOF_policy_recorded_without_numeric_capacity
NPD007,process_bounds_translation_policy,EAF_batch_equivalent_hourly_treatment,EAF_is_a_batch_equivalent_hourly_asset_not_a_perfect_dimmer,batch_equivalent_hourly_interpretation_for_dev_only,alternative_hourly_equivalent_interpretations_may_later_be_screened,C1_EAF_bounds_must_respect_batch_equivalent_logic,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,process_bounds.csv,S2_7F_process_packet_plus_ATH06_method_row,Structural_sensitivity_remains_before_numeric_bound_review,No_reviewed_hourly_equivalent_capacity_exists,record_policy_and_translation_requirement_only,approve_numeric_EAF_hourly_caps_or_perfect_dimmer_logic,numerical_policy_recorded,non_executable,false,EAF_policy_recorded_without_numeric_capacity
NPD008,process_bounds_translation_policy,casting_HSM_bounded_sink_treatment,Casting_and_HSM_or_downstream_are_bounded_process_or_sink_layers_not_primary_flexibility_assets,bounded_sink_treatment_for_dev_only,wider_sink_treatment_may_later_be_screened_only_after_scope_review,Future_sink_limits_must_not_become_hidden_market_flexibility_or_hourly_caps,C0_current_BF_BOF_reference;C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,process_bounds.csv;production_targets.csv,S2_7E_policy_bundle_plus_S2_7F_process_packet,Downstream_treatment_can_change_target_feasibility_and_validation,No_reviewed_downstream_hourly_cap_exists,record_policy_and_bound_role_only,approve_sink_caps_or_use_downstream_annual_anchors_as_live_bounds,numerical_policy_recorded,non_executable,false,Downstream_layers_remain_secondary_to_main_flexibility_buffers
NPD009,buffer_capacity_treatment,HDRI_DRI_surge_included_as_main_flexibility_buffer,HDRI_DRI_surge_is_included_as_the_main_short_term_flexibility_buffer,base_case_dev_structure_uses_a_single_main_decoupling_buffer,smaller_or_no_surge_and_larger_cases_may_later_be_screened,C1_short_term_flexibility_should_be_represented_through_this_buffer_first,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,store_capacities.csv;inventory_endpoint_policies.csv,S2_7E_policy_bundle_plus_S2_7F_buffer_packet,High_impact_store_capacity_screening_item,Exact_tonnes_capacity_is_unreviewed,record_buffer_inclusion_and_role_only,approve_exact_capacity_or_promote_store_rows,numerical_policy_recorded,non_executable,false,Main_short_term_flexibility_buffer_recorded_without_tonnes
NPD010,buffer_capacity_treatment,HDRI_DRI_surge_heat_equivalent_sizing_basis,HDRI_DRI_surge_should_be_sized_relative_to_EAF_heat_equivalents,EAF_heat_equivalent_relative_sizing_basis_only,alternative_relative_sizing_interpretations_may_later_be_screened,Relative_sizing_is_allowed_only_as_non_executable_review_structure,C1_phase1_hybrid_BF_BOF_NG_DRP_EAF,deterministic_S2_minimal_numerical_policy_bundle,store_capacities.csv,S2_7E_policy_bundle_plus_S2_7F_buffer_packet,Heat_equivalent_choice_affects_future_range_design,Heat_to_tonnes_translation_is_still_unreviewed,record_relative_sizing_basis_only,approve_tonnes_capacity_from_relative_sizing_language,provisional_structure_recorded,non_executable,false,Relative_sizing_basis_only_not_numeric_capacity_approval
