parameter_id,base_value,low_value,high_value,unit,parameter_group,source_card,input_status,thesis_usability,human_review_required,codex_may_decide,evidence_strength,caveat
EAF_HEAT_STATE_MODEL_ACTIVE,true,,,boolean,heat_state_policy,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Heat-state skeleton is active for accounting; integer heat scheduling remains deferred.
EAF_OUTPUT_BASIS,liquid_steel,,,-,activity_basis,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Activity basis is liquid steel output.
EAF_HEAT_SIZE_T_LS,325.0,,,t liquid steel/heat,heat_state,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_candidate,false,true,false,source_card_candidate_not_Tata_validated,"Public/source-card heat-size candidate, not thesis-approved."
EAF_HEAT_QH_STEPS_TOTAL,3,,,quarter-hours/heat,heat_state,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Development heat skeleton only; no market quarter-hour implementation.
EAF_MELTING_QH_STEPS_BASE,2,,,quarter-hours/heat,heat_state,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Arc electricity allocated to the two melting quarter-hour states.
EAF_TAPPING_TURNAROUND_QH_STEPS_BASE,1,,,quarter-hours/heat,heat_state,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Tapping/turnaround has zero arc electricity in the skeleton.
EAF_POWER_RATE_MAX_REL,1.0,,1.0,relative,heat_state_policy,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,No 125% over-power option active.
EAF_MISSED_ENERGY_MAKEUP_REQUIRED,true,,,boolean,heat_state_policy,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Missed energy must extend heat in later scheduling layer; no over-power.
EAF_MAKEUP_MODE,extend_heat_no_overpower,,,-,heat_state_policy,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,Development policy; no over-power and no reserve activation in this stage.
EAF_MFRR_UP_ALLOWED_BASE,true_only_as_future_readiness_diagnostic_during_melting,,,-,mFRR_readiness,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,"Diagnostic state eligibility only; no mFRR variables, activation or revenue."
EAF_MFRR_DOWN_ALLOWED_BASE,false,,,boolean,mFRR_readiness,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,No downward mFRR in base.
EAF_REFINING_RESERVE_ALLOWED_BASE,false,,,boolean,mFRR_readiness,data/03_Optimisation/inputs/assets/steel/source_cards/EAF_Parameters.md,development_assumption,false,true,false,source_card_candidate_not_Tata_validated,No refining reserve in base.
